complex,AF3_binder_Interface_size,AF2_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,AF2_Target_interface_size,target_jaccard,design_class,binding,binding_strength
724928537.dbz6___a,24,27,0.0408163265306122,25,24,0.0,Nanobody,False,
724928537.dbz7___a,14,34,0.0434782608695652,16,31,0.0,Nanobody,False,
724928537.dbz8___a,17,44,0.0892857142857142,16,41,0.0,Nanobody,False,
ali.rasouli.intern.model_77_142_3,22,38,0.0,23,35,0.0,Miniprotein,False,
amirm.mhosseini.seq1,36,52,0.0602409638554216,41,40,0.0519480519480519,Peptide,False,
amirm.mhosseini.seq3,16,23,0.054054054054054,18,21,0.0,Peptide,False,
amirm.mhosseini.seq4,19,22,0.025,16,21,0.0,Peptide,False,
amirm.mhosseini.seq9,18,49,0.0151515151515151,18,36,0.1489361702127659,Peptide,False,
human_egf,33,47,0.1111111111111111,40,36,0.1176470588235294,Peptide,True,Medium
reed.harrison.model_56_119_0,20,34,0.0,32,24,0.0,Miniprotein,False,
a.tucs.andrejs_tucs_seq1,31,50,0.1095890410958904,40,33,0.123076923076923,Peptide,True,Weak
a.tucs.andrejs_tucs_seq10,30,50,0.081081081081081,41,34,0.1029411764705882,Peptide,False,
a.tucs.andrejs_tucs_seq2,32,48,0.1111111111111111,40,35,0.0869565217391304,Peptide,False,
a.tucs.andrejs_tucs_seq3,31,45,0.1176470588235294,40,36,0.1343283582089552,Peptide,True,Weak
a.tucs.andrejs_tucs_seq4,30,48,0.1142857142857142,39,36,0.1194029850746268,Peptide,False,
a.tucs.andrejs_tucs_seq5,31,45,0.1014492753623188,37,34,0.1269841269841269,Peptide,True,Medium
a.tucs.andrejs_tucs_seq6,18,26,0.0,24,18,0.0,Peptide,False,
a.tucs.andrejs_tucs_seq7,32,45,0.1159420289855072,38,36,0.1044776119402985,Peptide,True,Weak
a.tucs.andrejs_tucs_seq8,31,51,0.1081081081081081,39,35,0.1212121212121212,Peptide,True,Medium
a.tucs.andrejs_tucs_seq9,31,47,0.0985915492957746,36,36,0.1076923076923077,Peptide,False,
akash.arunabharathi.design10,15,48,0.0677966101694915,20,32,0.0,Peptide,False,
