complex,AF3_binder_Interface_size,Boltz_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,Boltz_Target_interface_size,target_jaccard
paulafcfranklin.synth_rosetta_1,34,33,0.8108108108108109,42,41,0.8863636363636364
merlettaia.seq0v3,32,24,0.3333333333333333,33,33,0.0
minji.lee.459,18,19,0.48,19,18,0.027777777777777776
spacecruiser42.d2_prompt_binder_t1.0_22,13,15,0.6470588235294118,20,32,0.3333333333333333
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,24,28,0.625,29,33,0.631578947368421
qxy615.s1_rfd_base_46_94,19,25,0.5714285714285714,24,38,0.34782608695652173
youngsuko2000.ysar,34,35,0.9166666666666666,41,44,0.8085106382978723
christoph.gruber.binder12_1,13,41,0.22727272727272727,19,57,0.16923076923076924
merlettaia.seq52v3,14,17,0.2916666666666667,25,25,0.0
briannaughton.1_plus_2,30,57,0.5,29,60,0.48333333333333334
cchallacombe.4,29,29,0.2608695652173913,35,30,0.015625
allongoldberg.4_44_14_refined_ideal,22,10,0.391304347826087,27,14,0.0
tarkhov.andrey.erithacus_rubecula_gigantus_1,27,64,0.03409090909090909,27,70,0.29333333333333333
paulafcfranklin.synth_rosetta_4,35,34,0.9166666666666666,39,43,0.8636363636363636
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,50,52,0.25925925925925924,44,60,0.2682926829268293
amelie.schreiber.model_56_119_15,20,19,0.8571428571428571,32,28,0.8181818181818182
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,20,26,0.6428571428571429,20,28,0.45454545454545453
aswini.seed2_1,27,24,0.3783783783783784,36,39,0.0
x.rustamov.traj_4_8_model_1_5,24,14,0.08571428571428572,28,15,0.0
ccalia.paesani_lab_design9,38,59,0.4264705882352941,39,67,0.4520547945205479
minji.lee.111,31,23,0.42105263157894735,31,31,0.0
a.tucs.andrejs_tucs_seq8,31,29,0.9354838709677419,39,38,0.925
merlettaia.seq70v3,20,25,0.5517241379310345,21,26,0.044444444444444446
s1995825.cotimed_egf_netsolp_usability_8,32,33,0.9117647058823529,38,41,0.8372093023255814
lhallee.lhallee_20_on_target_2000,11,17,0.5555555555555556,17,33,0.19047619047619047
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,34,32,0.9411764705882353,37,41,0.8571428571428571
alex.naka.ivysaur,33,32,0.7567567567567568,36,38,0.8048780487804879
huiyu.cai.h3_15_4373_h,18,13,0.10714285714285714,20,13,0.17857142857142858
ccalia.paesani_lab_design2,43,47,0.058823529411764705,54,52,0.11578947368421053
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,17,22,0.25806451612903225,23,31,0.2
salireza111.seq206_1_001_6,22,31,0.358974358974359,22,39,0.17307692307692307
