complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard
724928537.dbz6___a,24,45,0.1694915254237288,25,73,0.20987654320987653
724928537.dbz7___a,14,34,0.14285714285714285,16,65,0.15714285714285714
724928537.dbz8___a,17,50,0.046875,16,85,0.18823529411764706
ali.rasouli.intern.model_77_142_3,22,30,0.18181818181818182,23,69,0.22666666666666666
amirm.mhosseini.seq1,36,28,0.3617021276595745,41,51,0.4375
amirm.mhosseini.seq3,16,20,0.2413793103448276,18,46,0.30612244897959184
amirm.mhosseini.seq4,19,32,0.24390243902439024,16,61,0.2222222222222222
amirm.mhosseini.seq9,18,32,0.28205128205128205,18,55,0.2807017543859649
human_egf,33,24,0.46153846153846156,40,43,0.509090909090909
reed.harrison.model_56_119_0,20,35,0.30952380952380953,32,65,0.29333333333333333
a.tucs.andrejs_tucs_seq1,31,21,0.3333333333333333,40,42,0.6078431372549019
a.tucs.andrejs_tucs_seq10,30,21,0.275,41,46,0.5818181818181818
a.tucs.andrejs_tucs_seq2,32,30,0.55,40,70,0.42857142857142855
a.tucs.andrejs_tucs_seq3,31,24,0.41025641025641024,40,45,0.3492063492063492
a.tucs.andrejs_tucs_seq4,30,23,0.358974358974359,39,44,0.5961538461538461
a.tucs.andrejs_tucs_seq5,31,26,0.425,37,54,0.3382352941176471
a.tucs.andrejs_tucs_seq6,18,24,0.3125,24,61,0.25
a.tucs.andrejs_tucs_seq7,32,19,0.24390243902439024,38,41,0.5192307692307693
a.tucs.andrejs_tucs_seq8,31,24,0.375,39,38,0.4
a.tucs.andrejs_tucs_seq9,31,24,0.4473684210526316,36,59,0.4393939393939394
akash.arunabharathi.design10,15,18,0.17857142857142858,20,30,0.0
akash.arunabharathi.design3,11,15,0.13043478260869565,18,31,0.0
akash.arunabharathi.design4,14,56,0.20689655172413793,24,103,0.0
akash.arunabharathi.design8,19,71,0.08433734939759036,20,108,0.14285714285714285
akash.arunabharathi.design9,8,56,0.10344827586206896,13,87,0.13636363636363635
alan.blakely.12_3,40,88,0.16363636363636364,41,127,0.1506849315068493
alan.blakely.12_6,33,88,0.18627450980392157,36,131,0.21897810218978103
alan.blakely.16_2,41,76,0.17,45,113,0.264
alecl.relaxeda,32,33,0.41304347826086957,36,74,0.4473684210526316
alecl.unrelaxeda,28,28,0.36585365853658536,40,46,0.6862745098039216
alejandro.corrochano-navarro.eng_scfv_binder_1,22,88,0.13402061855670103,23,111,0.09836065573770492
alejandro.corrochano-navarro.eng_scfv_binder_2,22,84,0.13978494623655913,22,124,0.14960629921259844
alejandro.corrochano-navarro.eng_scfv_binder_3,22,75,0.12790697674418605,23,104,0.08547008547008547
alessio.daddio.ad_1,31,50,0.32786885245901637,36,86,0.23232323232323232
alessio.daddio.ad_4,30,25,0.27906976744186046,27,46,0.35185185185185186
alessio.daddio.ad_9,23,27,0.3157894736842105,26,62,0.23943661971830985
alex.naka.blastoise,33,23,0.3023255813953488,41,46,0.6111111111111112
alex.naka.charizard,16,32,0.2972972972972973,23,65,0.2222222222222222
alex.naka.charmander,36,23,0.37209302325581395,43,43,0.6226415094339622
alex.naka.charmeleon,17,31,0.2972972972972973,21,72,0.24
alex.naka.ivysaur,33,23,0.2727272727272727,36,44,0.6
alex.naka.squirtle,31,24,0.34146341463414637,44,41,0.5178571428571429
alex.naka.venusaur,15,24,0.21875,20,61,0.208955223880597
alex.naka.wartortle,31,26,0.35714285714285715,43,53,0.6
allongoldberg.3_52,16,24,0.21212121212121213,21,55,0.0
allongoldberg.3_52_10_refined_ideal,20,29,0.3611111111111111,26,57,0.22058823529411764
allongoldberg.3_52_1_refined,16,34,0.28205128205128205,23,75,0.18072289156626506
allongoldberg.4_44,20,64,0.16666666666666666,24,111,0.18421052631578946
allongoldberg.4_44_0_refined,19,53,0.18032786885245902,27,79,0.30864197530864196
allongoldberg.4_44_14_refined_ideal,22,48,0.20689655172413793,27,79,0.27710843373493976
amelie.schreiber.model_56_119_15,20,39,0.2553191489361702,32,77,0.14736842105263157
amelie.schreiber.model_60_151_9,23,29,0.3333333333333333,30,66,0.17073170731707318
amelie.schreiber.model_83_156_16,30,49,0.27419354838709675,33,75,0.30120481927710846
amirmhosseini47.mohammad_seq2,34,35,0.35294117647058826,39,69,0.44
