complex_id,af3_contacts,chai1_contacts,overlap_contacts
724928537.dbz6___a,69,84,0
724928537.dbz7___a,42,95,2
724928537.dbz8___a,44,56,0
ali.rasouli.intern.model_77_142_3,60,105,2
amirm.mhosseini.seq1,118,112,99
amirm.mhosseini.seq3,53,107,50
amirm.mhosseini.seq4,57,104,50
amirm.mhosseini.seq9,53,104,47
human_egf,101,113,91
reed.harrison.model_56_119_0,74,73,4
a.tucs.andrejs_tucs_seq1,104,106,97
a.tucs.andrejs_tucs_seq10,100,105,95
a.tucs.andrejs_tucs_seq2,110,109,97
a.tucs.andrejs_tucs_seq3,107,105,101
a.tucs.andrejs_tucs_seq4,99,107,91
a.tucs.andrejs_tucs_seq5,98,102,85
a.tucs.andrejs_tucs_seq6,53,104,36
a.tucs.andrejs_tucs_seq7,100,103,92
a.tucs.andrejs_tucs_seq8,101,107,94
a.tucs.andrejs_tucs_seq9,101,102,94
akash.arunabharathi.design10,48,67,0
akash.arunabharathi.design3,43,73,0
akash.arunabharathi.design4,51,115,0
akash.arunabharathi.design8,50,121,0
akash.arunabharathi.design9,25,130,0
alan.blakely.12_3,114,150,76
alan.blakely.12_6,99,140,83
alan.blakely.16_2,129,184,74
alecl.relaxeda,102,102,87
alecl.unrelaxeda,99,110,84
alejandro.corrochano-navarro.eng_scfv_binder_1,65,67,46
alejandro.corrochano-navarro.eng_scfv_binder_2,63,73,45
alejandro.corrochano-navarro.eng_scfv_binder_3,65,68,45
alessio.daddio.ad_1,91,117,80
alessio.daddio.ad_4,81,92,58
alessio.daddio.ad_9,62,64,59
alex.naka.blastoise,115,110,90
alex.naka.charizard,53,110,47
alex.naka.charmander,122,121,101
alex.naka.charmeleon,53,108,46
alex.naka.ivysaur,110,116,90
alex.naka.squirtle,104,106,85
alex.naka.venusaur,46,111,45
alex.naka.wartortle,100,111,83
allongoldberg.3_52,51,60,0
allongoldberg.3_52_10_refined_ideal,74,72,0
allongoldberg.3_52_1_refined,55,83,36
allongoldberg.4_44,60,66,0
allongoldberg.4_44_0_refined,67,89,6
allongoldberg.4_44_14_refined_ideal,76,85,1
amelie.schreiber.model_56_119_15,77,60,0
amelie.schreiber.model_60_151_9,78,62,47
amelie.schreiber.model_83_156_16,87,94,7
amirmhosseini47.mohammad_seq2,107,123,94
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,50,92,36
antorsae.ta525_0_0,50,99,42
antorsae.ta_4_4,52,76,2
antorsae.ta_4_5,56,58,2
antorsae.ta_5_1,40,81,33
antorsae.ta_5_2,56,78,3
antorsae.ta_5_3,50,75,1
antorsae.ta397unsafety_2,42,90,34
areddy.egfr_l169_s781475,97,140,69
aswini.clipgen30,39,79,2
aswini.seed1,98,98,0
aswini.seed1_1,84,82,0
aswini.seed2_1,80,100,0
aswini.seed2_3,70,87,0
aswinijavadi160197.8_a,36,57,0
aureliabustos.bce_var433,99,106,89
aureliabustos.bce_var464,103,107,91
aureliabustos.bce_var702,100,103,90
aureliabustos.wt_noised_i_scaffold_shorted_var71,109,109,102
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,103,105,94
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,102,110,97
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,109,107,100
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,102,109,96
baptiste.roelens.ognk,68,99,59
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,87,103,73
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,64,107,63
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,71,94,55
binom16.pocket1pep15,39,71,6
binom16.pocket2pep86,37,79,6
binom16.pocket2pep89,37,37,27
binom16.pocket3pep98,37,79,15
binom16.pocket7pep80,34,65,0
biolucasmachado.engineered_binder_1,43,133,39
biolucasmachado.engineered_binder_2,60,109,51
biolucasmachado.engineered_binder_3,100,102,91
biolucasmachado.engineered_binder_4,118,113,108
biolucasmachado.engineered_binder_5,114,108,100
biolucasmachado.engineered_binder_6,118,141,101
biolucasmachado.engineered_binder_7,110,110,99
biolucasmachado.engineered_binder_8,119,118,109
biolucasmachado.engineered_binder_9,101,104,90
briannaughton.1_plus_2,86,194,74
briannaughton.1_plus_egfr,147,145,53
briannaughton.2_plus_1,114,171,73
briannaughton.2_plus_2,162,207,0
briannaughton.egfr_plus_egfr,113,140,52
bronte.egfr_binder_4_91,41,46,3
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,80,49,0
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,75,61,0
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,69,71,56
cameron.kroll.gertrude_gen3,75,84,4
cameron.kroll.gertrude_gen3_s69d_n61e,57,87,4
cameron.kroll.gertrude_gen5,73,76,1
cameron.kroll.gertrude_gen6,75,83,3
cameron.kroll.leitner,78,69,0
carson.vaux.baker1_18,45,82,0
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,64,83,62
ccalia.paesani_lab_design1,86,169,11
ccalia.paesani_lab_design2,141,113,0
ccalia.paesani_lab_design3,111,236,1
ccalia.paesani_lab_design8,83,157,0
ccalia.paesani_lab_design9,102,135,63
cchallacombe.1,71,73,0
cchallacombe.4,99,90,0
cchallacombe.6,45,57,0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,77,78,2
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,70,72,49
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,54,86,51
christoph.gruber.binder12_1,48,99,1
christoph.gruber.upperbinder_scaffold1_lowerbinder,160,166,62
christoph.gruber.upperbinder_scaffold2_lowerbinder,190,171,69
christoph.gruber.upperbinder_scaffold3_lowerbinder,147,98,7
christoph.gruber.upperbinder_xten_lowerbinder,101,142,9
chrisxushaoyong.hu_nano1_1_ff3e18,73,74,0
chrisxushaoyong.hu_nano1_3_eef94e,51,67,24
chrisxushaoyong.hu_nano1_5_559c85,46,51,0
chrisxushaoyong.hu_nano2_2_7ef96e,64,68,0
chrisxushaoyong.hu_nano2_4_85252b,66,63,0
chuh.egfr_seg1_l58_s941869_mpnn2,43,50,36
chuh.egfr_seg2_l58_s53469_mpnn1,65,82,0
chuh.egfr_seg2_l62_s244475_mpnn4,68,87,0
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,97,126,4
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,79,107,0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,51,108,0
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,63,140,7
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,85,104,8
coreyhowe99.corey82,76,58,0
darius.szablowski.egfr_binder_1___top_binder_1,72,72,53
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,127,100,1
