Complex,binder_rmsd_aligned_on_binder,binder_rmsd_aligned_on_target
724928537.dbz6___a,0.9512337,48.197567
724928537.dbz7___a,1.0215569,53.985207
724928537.dbz8___a,1.4766017,57.25263
ali.rasouli.intern.model_77_142_3,7.5788684,50.70457
amirm.mhosseini.seq1,0.95070004,2.668388
amirm.mhosseini.seq3,0.50697166,13.24791
amirm.mhosseini.seq4,0.5055926,10.773385
amirm.mhosseini.seq9,2.0990713,13.27327
human_egf,1.633315,2.7951167
reed.harrison.model_56_119_0,0.4769414,47.944912
a.tucs.andrejs_tucs_seq1,1.1846062,2.6477704
a.tucs.andrejs_tucs_seq10,0.8426453,2.4379003
a.tucs.andrejs_tucs_seq2,1.1251879,1.9150586
a.tucs.andrejs_tucs_seq3,0.54678875,2.18182
a.tucs.andrejs_tucs_seq4,1.3139938,2.7474165
a.tucs.andrejs_tucs_seq5,0.4678425,2.962635
a.tucs.andrejs_tucs_seq6,0.80145776,43.863007
a.tucs.andrejs_tucs_seq7,1.0900611,2.3097775
a.tucs.andrejs_tucs_seq8,0.931766,2.7226865
a.tucs.andrejs_tucs_seq9,0.7725124,3.3353686
akash.arunabharathi.design10,7.956799,71.92335
akash.arunabharathi.design3,10.732225,72.58573
akash.arunabharathi.design4,18.264746,50.8795
akash.arunabharathi.design8,12.256017,45.67431
akash.arunabharathi.design9,33.319805,44.934746
alan.blakely.12_3,28.802471,64.01455
alan.blakely.12_6,17.134583,32.32186
alan.blakely.16_2,19.492712,32.66069
alecl.relaxeda,2.0313404,3.256166
alecl.unrelaxeda,0.7793294,4.0572767
alejandro.corrochano-navarro.eng_scfv_binder_1,2.6795444,47.405033
alejandro.corrochano-navarro.eng_scfv_binder_2,2.6926296,46.59375
alejandro.corrochano-navarro.eng_scfv_binder_3,1.2389389,46.96317
alessio.daddio.ad_1,0.6308498,38.79933
alessio.daddio.ad_4,0.6748762,35.959194
alessio.daddio.ad_9,0.9062854,4.510982
alex.naka.blastoise,1.4507127,3.838075
alex.naka.charizard,1.2375937,42.025696
alex.naka.charmander,0.7722659,3.6806962
alex.naka.charmeleon,0.8869925,41.17834
alex.naka.ivysaur,1.515658,2.5317822
alex.naka.squirtle,1.2822018,4.6912003
alex.naka.venusaur,3.988347,44.451702
alex.naka.wartortle,1.8600221,6.3174334
allongoldberg.3_52,9.24124,71.577774
allongoldberg.3_52_10_refined_ideal,1.7723705,50.76777
allongoldberg.3_52_1_refined,2.0948775,15.934538
allongoldberg.4_44,4.6172137,66.53896
allongoldberg.4_44_0_refined,0.4898598,45.7131
allongoldberg.4_44_14_refined_ideal,0.67740667,48.75993
amelie.schreiber.model_56_119_15,0.536283,58.23032
amelie.schreiber.model_60_151_9,2.1344478,3.7947257
amelie.schreiber.model_83_156_16,0.7755432,51.13245
amirmhosseini47.mohammad_seq2,7.558774,8.890993
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,1.2689251,42.91309
antorsae.ta525_0_0,0.45209,42.384785
antorsae.ta_4_4,1.1391715,22.33094
antorsae.ta_4_5,1.2965304,20.334007
antorsae.ta_5_1,0.45447317,41.190582
antorsae.ta_5_2,0.7667267,24.934788
antorsae.ta_5_3,0.76997894,23.338882
antorsae.ta397unsafety_2,0.5696033,44.36525
areddy.egfr_l169_s781475,0.377738,47.44946
aswini.clipgen30,9.308518,21.791662
aswini.seed1,3.6831176,41.860035
aswini.seed1_1,5.459387,42.371456
aswini.seed2_1,1.8140442,44.473965
aswini.seed2_3,2.7988396,41.783997
aswinijavadi160197.8_a,0.8240429,42.62333
aureliabustos.bce_var433,1.8709174,2.3098416
aureliabustos.bce_var464,1.8033377,3.074173
aureliabustos.bce_var702,1.8865191,2.974243
aureliabustos.wt_noised_i_scaffold_shorted_var71,0.40686503,1.5160751
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,0.77929085,1.6290648
