complex,AF3_binder_Interface_size,CHAI-1_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,CHAI-1_Target_interface_size,target_jaccard
724928537.dbz6___a,24,27,0.4166666666666667,25,32,0.32558139534883723
724928537.dbz7___a,14,28,0.3548387096774194,16,39,0.375
724928537.dbz8___a,17,18,0.25,16,16,0.0
ali.rasouli.intern.model_77_142_3,22,31,0.23255813953488372,23,40,0.2857142857142857
amirm.mhosseini.seq1,36,38,0.85,41,42,0.8043478260869565
amirm.mhosseini.seq3,16,34,0.47058823529411764,18,41,0.43902439024390244
amirm.mhosseini.seq4,19,34,0.5142857142857142,16,37,0.43243243243243246
amirm.mhosseini.seq9,18,31,0.53125,18,40,0.45
human_egf,33,33,0.9411764705882353,40,42,0.8636363636363636
reed.harrison.model_56_119_0,20,25,0.5517241379310345,32,27,0.09259259259259259
a.tucs.andrejs_tucs_seq1,31,31,1.0,40,40,0.9047619047619048
a.tucs.andrejs_tucs_seq10,30,32,0.9375,41,43,0.9090909090909091
a.tucs.andrejs_tucs_seq2,32,31,0.96875,40,42,0.9069767441860465
a.tucs.andrejs_tucs_seq3,31,32,0.96875,40,41,0.975609756097561
a.tucs.andrejs_tucs_seq4,30,33,0.9090909090909091,39,42,0.8837209302325582
a.tucs.andrejs_tucs_seq5,31,32,0.96875,37,39,0.7674418604651163
a.tucs.andrejs_tucs_seq6,18,31,0.5806451612903226,24,37,0.38636363636363635
a.tucs.andrejs_tucs_seq7,32,32,1.0,38,40,0.9024390243902439
a.tucs.andrejs_tucs_seq8,31,31,0.9375,39,41,0.9047619047619048
a.tucs.andrejs_tucs_seq9,31,32,0.96875,36,37,0.825
akash.arunabharathi.design10,15,17,0.18518518518518517,20,26,0.0
akash.arunabharathi.design3,11,19,0.034482758620689655,18,31,0.0
akash.arunabharathi.design4,14,34,0.2,24,44,0.0
akash.arunabharathi.design8,19,34,0.15217391304347827,20,42,0.3191489361702128
akash.arunabharathi.design9,8,42,0.06382978723404255,13,48,0.24489795918367346
alan.blakely.12_3,40,53,0.5245901639344263,41,54,0.39705882352941174
alan.blakely.12_6,33,47,0.6,36,51,0.6111111111111112
alan.blakely.16_2,41,63,0.3684210526315789,45,62,0.5970149253731343
alecl.relaxeda,32,33,0.9696969696969697,36,41,0.7906976744186046
alecl.unrelaxeda,28,31,0.84375,40,41,0.8409090909090909
alejandro.corrochano-navarro.eng_scfv_binder_1,22,23,0.5517241379310345,23,28,0.6451612903225806
alejandro.corrochano-navarro.eng_scfv_binder_2,22,24,0.4838709677419355,22,25,0.6206896551724138
alejandro.corrochano-navarro.eng_scfv_binder_3,22,24,0.5862068965517241,23,27,0.6666666666666666
