complex_id,af3_contacts,protenix_contacts,overlap_contacts
paulafcfranklin.synth_rosetta_1,113,313,0
merlettaia.seq0v3,105,247,1
minji.lee.459,56,94,2
spacecruiser42.d2_prompt_binder_t1.0_22,45,169,1
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,70,171,1
qxy615.s1_rfd_base_46_94,54,196,0
youngsuko2000.ysar,113,257,0
christoph.gruber.binder12_1,48,183,0
merlettaia.seq52v3,51,312,0
briannaughton.1_plus_2,86,229,1
cchallacombe.4,99,185,0
allongoldberg.4_44_14_refined_ideal,76,196,0
tarkhov.andrey.erithacus_rubecula_gigantus_1,78,391,0
paulafcfranklin.synth_rosetta_4,112,227,3
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,131,340,5
amelie.schreiber.model_56_119_15,77,162,0
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,54,191,0
aswini.seed2_1,80,268,2
x.rustamov.traj_4_8_model_1_5,64,261,1
ccalia.paesani_lab_design9,102,427,1
minji.lee.111,83,153,0
a.tucs.andrejs_tucs_seq8,101,162,2
merlettaia.seq70v3,62,251,0
s1995825.cotimed_egf_netsolp_usability_8,101,106,0
lhallee.lhallee_20_on_target_2000,41,167,0
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,102,237,4
alex.naka.ivysaur,110,164,0
huiyu.cai.h3_15_4373_h,57,238,0
ccalia.paesani_lab_design2,141,420,0
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,51,209,4
salireza111.seq206_1_001_6,61,145,0
cchallacombe.6,45,212,0
zulfatmi.pocket2pep63,24,117,1
junhee.park1999.egfr_binder_9,72,380,0
huiyu.cai.h3_15_2847_h,55,154,0
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,102,207,5
duynth29.duy_l111_mpnn14_l80m_l42m,89,220,0
merlettaia.seq6v4,23,311,0
lhallee.lhallee_128_driveid_3_4,53,328,0
noah.holzleitner.noah_egfr-binder_4,49,80,0
paulafcfranklin.synth_rosetta_9,113,279,2
xiuming_li2015.eureka_seq_1,76,312,2
christoph.gruber.upperbinder_scaffold3_lowerbinder,147,292,0
joel.rf_diffusion_trim_3,61,184,0
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,67,339,0
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,49,219,0
nhaas.4,68,313,0
s1995825.cotimed_egf_netsolp_usability_2,102,278,0
minji.lee.3458,48,123,1
kerrding.seq8,113,158,0
julie.ryfqy,51,97,1
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,54,319,1
junhee.park1999.egfr_binder_6,73,288,0
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,127,218,4
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,112,168,0
spacecruiser42.d2_prompt_binder_t0.8_88,36,151,1
duynth29.l88_mpnn5,79,109,0
julian.faust.pimurutamab_mpnn_17_scfv,73,425,0
s1995825.cotimed_egf_netsolp_usability_7,62,181,0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,50,236,12
a.tucs.andrejs_tucs_seq3,107,235,1
aswini.seed1,98,322,2
elian.elian2,78,175,0
aureliabustos.bce_var464,103,247,0
qxy615.s1_rfd_base_46_60,35,117,0
antorsae.ta_5_2,56,197,5
lennart.nickel.egfr_l98_s70756_mpnn3,66,101,0
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,103,316,0
gitter.yolo46,74,110,0
dre.lgdl_egfr_001,39,295,0
paulafcfranklin.synth_rosetta_3,115,285,4
flowuenne.nf-proteindesign_design7,51,152,0
spacecruiser42.d2_prompt_binder_t0.8_42,35,191,2
z_peplib.pepseq_design_9,66,186,0
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,64,90,0
s1995825.cotimed_egf_netsolp_usability_3,98,157,0
jvogt4.vogt_scfv_2143,68,188,2
jvogt4.vogt_scfv_2279,60,452,1
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,49,304,0
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,71,176,0
aswinijavadi160197.8_a,36,34,0
xiuming_li2015.eureka_seq_4,76,416,0
mosquitolkfo.nab_design_1,69,242,0
klima.jason.8hgo_design_8gswy_1_2,98,322,1
chuh.egfr_seg2_l58_s53469_mpnn1,65,124,0
ccalia.paesani_lab_design8,83,361,1
zulfatmi.pocket1pep78,71,119,0
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,145,215,0
akash.arunabharathi.design8,50,222,0
x.rustamov.traj_11_8_model_5_0,62,212,2
cameron.kroll.gertrude_gen5,73,161,0
zhoup1366.dbz6___a,46,212,0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,51,442,0
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,108,172,2
jvogt4.vogt_scfv_2009,45,241,0
alecl.relaxeda,102,160,3
724928537.dbz7___a,42,236,5
toluwase.fatoki.toluwase_sequence6_112,61,361,0
ssomani.17,50,192,0
gitter.yolo48,56,106,0
nhaas.6,52,582,0
nhaas.3,75,531,1
a.tucs.andrejs_tucs_seq6,53,145,0
martin.egfr_l165_s31019_mpnn3,73,185,2
724928537.dbz8___a,44,321,2
chrisxushaoyong.hu_nano1_3_eef94e,51,241,0
x.rustamov.p_vhh_partial_1_32,51,248,0
amirm.mhosseini.seq4,57,181,0
cchallacombe.1,71,178,2
coreyhowe99.corey82,76,98,0
antorsae.ta_4_4,52,86,0
cameron.kroll.gertrude_gen3_s69d_n61e,57,196,0
qy.qilin.yu.10-13-21_sample267_complex_42_complex,60,111,0
markus.braun.egfr_binder_8,160,255,0
biolucasmachado.engineered_binder_7,110,297,7
briannaughton.2_plus_1,114,318,4
kerrding.seq6,100,194,1
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,28,269,2
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,73,141,0
kerrding.seq5,101,134,0
biolucasmachado.engineered_binder_2,60,264,0
s1995825.cotimed_egf_netsolp_usability_5,97,141,0
binom16.pocket2pep89,37,189,1
alex.naka.charmeleon,53,191,0
