complex_id,af3_contacts,af2_contacts,overlap_contacts
724928537.dbz6___a,69,44,0
724928537.dbz7___a,42,74,9
724928537.dbz8___a,44,82,12
ali.rasouli.intern.model_77_142_3,60,82,52
amirm.mhosseini.seq1,118,122,109
amirm.mhosseini.seq3,53,53,51
amirm.mhosseini.seq4,57,55,52
amirm.mhosseini.seq9,53,107,51
human_egf,101,109,89
reed.harrison.model_56_119_0,74,71,60
a.tucs.andrejs_tucs_seq1,104,108,95
a.tucs.andrejs_tucs_seq10,100,104,95
a.tucs.andrejs_tucs_seq2,110,112,98
a.tucs.andrejs_tucs_seq3,107,103,94
a.tucs.andrejs_tucs_seq4,99,102,87
a.tucs.andrejs_tucs_seq5,98,100,88
a.tucs.andrejs_tucs_seq6,53,57,53
a.tucs.andrejs_tucs_seq7,100,104,95
a.tucs.andrejs_tucs_seq8,101,105,90
a.tucs.andrejs_tucs_seq9,101,103,90
akash.arunabharathi.design10,48,106,0
akash.arunabharathi.design3,43,87,0
akash.arunabharathi.design4,51,99,0
akash.arunabharathi.design8,50,153,2
akash.arunabharathi.design9,25,63,0
alan.blakely.12_3,114,83,72
alan.blakely.12_6,99,122,75
alan.blakely.16_2,129,86,75
alecl.relaxeda,102,108,94
alecl.unrelaxeda,99,106,86
alejandro.corrochano-navarro.eng_scfv_binder_1,65,70,64
alejandro.corrochano-navarro.eng_scfv_binder_2,63,67,59
alejandro.corrochano-navarro.eng_scfv_binder_3,65,70,63
alessio.daddio.ad_1,91,93,81
alessio.daddio.ad_4,81,77,62
alessio.daddio.ad_9,62,64,60
alex.naka.blastoise,115,111,98
alex.naka.charizard,53,106,50
alex.naka.charmander,122,112,98
alex.naka.charmeleon,53,119,49
alex.naka.ivysaur,110,115,96
alex.naka.squirtle,104,106,95
alex.naka.venusaur,46,51,45
alex.naka.wartortle,100,106,91
allongoldberg.3_52,51,56,0
allongoldberg.3_52_10_refined_ideal,74,33,0
allongoldberg.3_52_1_refined,55,62,49
allongoldberg.4_44,60,93,0
allongoldberg.4_44_0_refined,67,59,48
allongoldberg.4_44_14_refined_ideal,76,61,52
amelie.schreiber.model_56_119_15,77,80,69
amelie.schreiber.model_60_151_9,78,71,64
amelie.schreiber.model_83_156_16,87,80,65
amirmhosseini47.mohammad_seq2,107,129,100
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,50,48,46
antorsae.ta525_0_0,50,80,47
antorsae.ta_4_4,52,74,2
antorsae.ta_4_5,56,31,2
antorsae.ta_5_1,40,88,37
antorsae.ta_5_2,56,79,3
antorsae.ta_5_3,50,52,1
antorsae.ta397unsafety_2,42,89,36
areddy.egfr_l169_s781475,97,94,74
aswini.clipgen30,39,100,2
aswini.seed1,98,98,0
aswini.seed1_1,84,104,0
aswini.seed2_1,80,87,0
aswini.seed2_3,70,106,0
aswinijavadi160197.8_a,36,59,0
aureliabustos.bce_var433,99,102,90
aureliabustos.bce_var464,103,116,94
aureliabustos.bce_var702,100,108,91
aureliabustos.wt_noised_i_scaffold_shorted_var71,109,111,100
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,103,113,97
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,102,111,98
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,109,111,101
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,102,114,92
baptiste.roelens.ognk,68,100,59
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,87,86,78
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,64,64,51
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,71,73,59
binom16.pocket1pep15,39,51,8
binom16.pocket2pep86,37,62,0
binom16.pocket2pep89,37,47,0
binom16.pocket3pep98,37,61,0
binom16.pocket7pep80,34,52,0
biolucasmachado.engineered_binder_1,43,115,38
biolucasmachado.engineered_binder_2,60,99,41
biolucasmachado.engineered_binder_3,100,84,60
biolucasmachado.engineered_binder_4,118,117,112
biolucasmachado.engineered_binder_5,114,118,112
biolucasmachado.engineered_binder_6,118,124,113
biolucasmachado.engineered_binder_7,110,112,103
biolucasmachado.engineered_binder_8,119,116,110
biolucasmachado.engineered_binder_9,101,83,54
briannaughton.1_plus_2,86,123,0
briannaughton.1_plus_egfr,147,172,51
briannaughton.2_plus_1,114,118,94
briannaughton.2_plus_2,162,96,1
briannaughton.egfr_plus_egfr,113,96,51
bronte.egfr_binder_4_91,41,49,35
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,80,81,74
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,75,85,73
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,69,65,62
cameron.kroll.gertrude_gen3,75,77,67
cameron.kroll.gertrude_gen3_s69d_n61e,57,43,0
cameron.kroll.gertrude_gen5,73,47,0
cameron.kroll.gertrude_gen6,75,40,0
cameron.kroll.leitner,78,76,2
carson.vaux.baker1_18,45,51,42
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,64,67,61
ccalia.paesani_lab_design1,86,81,70
ccalia.paesani_lab_design2,141,104,68
ccalia.paesani_lab_design3,111,108,2
ccalia.paesani_lab_design8,83,92,69
