Complex,binder_rmsd_aligned_on_binder,binder_rmsd_aligned_on_target
ali.rasouli.intern.model_77_142_3,13.192396,13.21904
amirm.mhosseini.seq1,12.111412,10.400846
amirm.mhosseini.seq3,11.853637,11.338254
amirm.mhosseini.seq4,12.03889,11.00606
amirm.mhosseini.seq9,11.860674,12.257507
reed.harrison.model_56_119_0,13.066164,13.040403
a.tucs.andrejs_tucs_seq1,12.142471,11.059184
a.tucs.andrejs_tucs_seq10,12.167308,11.522708
a.tucs.andrejs_tucs_seq2,12.226719,12.383533
a.tucs.andrejs_tucs_seq3,12.101378,10.890608
a.tucs.andrejs_tucs_seq4,12.256088,10.59659
a.tucs.andrejs_tucs_seq5,12.132831,10.665894
a.tucs.andrejs_tucs_seq6,12.184371,10.813396
a.tucs.andrejs_tucs_seq7,12.489136,10.964882
a.tucs.andrejs_tucs_seq8,12.2146845,11.968335
a.tucs.andrejs_tucs_seq9,11.99657,10.2253
akash.arunabharathi.design10,12.231597,7.6705527
akash.arunabharathi.design3,12.6387205,8.970563
alecl.relaxeda,10.944116,11.956064
alecl.unrelaxeda,11.084678,11.638061
alessio.daddio.ad_1,19.48494,19.469847
alessio.daddio.ad_4,15.264671,15.1601305
alex.naka.blastoise,12.310875,11.496127
alex.naka.charizard,12.716859,11.121473
alex.naka.charmander,12.352342,10.360167
alex.naka.charmeleon,12.466054,13.071348
alex.naka.ivysaur,12.1136875,10.669667
alex.naka.squirtle,11.688093,12.156982
alex.naka.venusaur,11.070973,11.395661
alex.naka.wartortle,12.267302,11.111252
allongoldberg.3_52,10.637929,10.33463
allongoldberg.3_52_10_refined_ideal,10.869885,10.138783
allongoldberg.3_52_1_refined,10.759631,10.526945
amelie.schreiber.model_56_119_15,13.07511,13.027838
amelie.schreiber.model_60_151_9,8.150321,8.957959
amelie.schreiber.model_83_156_16,16.259975,16.171858
amirmhosseini47.mohammad_seq2,16.130432,11.933227
antorsae.ta525_0_0,11.558547,11.4258175
antorsae.ta_4_4,9.554694,10.162619
antorsae.ta_4_5,9.561381,10.065184
antorsae.ta_5_1,10.430383,11.712079
antorsae.ta_5_2,9.965723,11.685523
antorsae.ta_5_3,9.862654,10.372011
antorsae.ta397unsafety_2,11.2142,11.9567
aswini.clipgen30,12.346233,9.650561
aswini.seed1,11.60793,8.968738
aswini.seed1_1,13.335325,10.878688
aswini.seed2_1,11.573139,11.315156
aswini.seed2_3,11.234419,10.59115
aswinijavadi160197.8_a,17.185123,15.985052
aureliabustos.bce_var433,11.004623,10.830267
aureliabustos.bce_var464,10.985282,10.262704
aureliabustos.bce_var702,10.942682,10.331874
aureliabustos.wt_noised_i_scaffold_shorted_var71,11.854174,10.593389
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,11.936264,12.326679
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,11.764926,10.522462
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,11.710116,10.570513
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,11.947178,10.664025
baptiste.roelens.ognk,11.437995,11.462028
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,17.941013,17.909203
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,13.461332,12.993211
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,16.247948,16.174175
binom16.pocket1pep15,7.450664,6.242646
binom16.pocket2pep86,6.0107784,5.3920493
binom16.pocket2pep89,5.039778,7.001189
binom16.pocket3pep98,8.788229,8.818148
binom16.pocket7pep80,6.447141,11.03319
biolucasmachado.engineered_binder_1,13.338363,9.520998
biolucasmachado.engineered_binder_2,13.109552,9.7155285
biolucasmachado.engineered_binder_3,11.899311,10.276378
biolucasmachado.engineered_binder_4,13.983421,8.809538
biolucasmachado.engineered_binder_5,11.705993,10.502311
biolucasmachado.engineered_binder_6,13.133339,12.230559
biolucasmachado.engineered_binder_7,12.901926,10.459421
biolucasmachado.engineered_binder_8,13.456292,10.151723
biolucasmachado.engineered_binder_9,11.9212885,10.316292
bronte.egfr_binder_4_91,11.323319,11.411773
carson.vaux.baker1_18,13.774741,13.728725
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,15.319038,15.280402
cchallacombe.6,13.746401,14.010776
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,14.547636,14.479541
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,14.663392,14.653075
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,13.32566,13.321101
christoph.gruber.binder12_1,14.335223,12.869918
christoph.gruber.upperbinder_scaffold2_lowerbinder,17.919653,17.685604
christoph.gruber.upperbinder_scaffold3_lowerbinder,21.137764,18.191177
christoph.gruber.upperbinder_xten_lowerbinder,22.212582,19.553467
chrisxushaoyong.hu_nano1_1_ff3e18,13.687192,15.614596
chrisxushaoyong.hu_nano1_3_eef94e,13.779337,15.532729
chrisxushaoyong.hu_nano1_5_559c85,13.826532,16.149971
chuh.egfr_seg1_l58_s941869_mpnn2,10.451711,10.319879
chuh.egfr_seg2_l58_s53469_mpnn1,14.318059,14.198607
chuh.egfr_seg2_l62_s244475_mpnn4,11.7394495,11.389185
coreyhowe99.corey82,12.197512,12.082611
dre.lgdl_egfr_001,12.374912,16.536968
dre.lgdl_egfr_008,13.874965,14.006473
duynth29.duy_l111_mpnn14,13.849651,13.8649845
duynth29.duy_l111_mpnn14_l80m_l42m,13.827103,13.844556
duynth29.l88_mpnn5,16.593203,16.516075
eceiiitn786.8s2,11.043831,12.576855
elian.elian1,17.499338,17.453232
elian.elian2,17.112602,17.227919
elian.elian3,17.364485,17.342737
elian.elian4,17.443014,17.38109
elian.elian5,17.474186,17.40841
fernando.meireles.design_hybrid_partial_diff_4_31_binder,15.240375,14.715288
fernando.meireles.design_hybrid_partial_diff_7_1_binder,15.762009,14.157259
fernando.meireles.design_hybrid_partial_diff_9_54_binder,14.830258,13.59664
flowuenne.nf-proteindesign_design10,7.673634,7.727719
flowuenne.nf-proteindesign_design7,19.136148,13.482506
flowuenne.nf-proteindesign_design8,15.296654,14.003861
gitter.yolo23,14.068488,13.906683
gitter.yolo46,14.008252,13.829503
gitter.yolo48,12.880919,12.880265
hughy.7om4_b_a_17_rnd2_v2_full,14.101191,16.090826
hughy.7om4_b_a_180_rnd1_v1_full,14.020405,14.637903
hughy.7om4_b_a_33_rnd2_v2_full,14.022459,15.515367
hughy.7om4_b_a_8_rnd2_v2_full,14.07274,15.878178
huiyu.cai.h3_15_2431_h,15.029971,16.18528
huiyu.cai.h3_15_2847_h,14.1269,16.314913
huiyu.cai.h3_15_3351_h,14.164924,14.278243
huiyu.cai.h3_15_4373_h,14.053036,16.17233
huiyu.cai.h3_15_877_h,14.979172,15.854254
jakublala.epitope_1_20aa.pdb,6.2953224,5.2079964
jakublala.epitope_1_30aa.pdb,10.905045,10.981679
jakublala.epitope_2_30aa_1.pdb,10.776505,7.9054484
jakublala.full_dibinder_45aa.pdb,12.186613,15.197362
jakublala.full_dibinder_45aa_2.pdb,12.150818,15.820128
joaosartori2.c1,13.363844,11.045741
joaosartori2.c3,12.182032,12.763738
joaosartori2.c4,12.135259,10.683268
joaosartori2.c6,13.204005,11.912583
joel.rf_diffusion_trim_3,19.166153,14.285654
julie.jg26n,7.4302597,7.4797673
julie.rj0aa,10.207995,10.171199
julie.ryfqy,9.18922,9.129837
karmanyaaggarwal.ds002542,13.834859,15.953025
karmanyaaggarwal.ds003076,13.777012,16.55202
karmanyaaggarwal.ds004729,13.79067,16.405422
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,14.661618,14.314881
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,11.680645,8.930457
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,8.097848,12.558735
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,8.5037775,7.1616926
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,7.955379,8.939185
kerrding.seq5,11.799451,14.297217
kerrding.seq6,11.712859,11.31892
kerrding.seq7,11.586524,12.094363
kerrding.seq8,11.806311,12.816626
kerrding.seq9,11.688485,10.406957
klima.jason.8hgo_design_94eja_1_5,18.710981,18.078331
klima.jason.8hgo_design_vdcjs_1_2,17.723446,15.119724
kurumida.yoichi.mg_05,11.615366,11.6872425
lennart.nickel.egfr_l114_s69310_mpnn7,17.483728,17.366726
lennart.nickel.egfr_l98_s70756_mpnn3,15.627074,15.605574
lhallee.lhallee_20_on_target_2000,6.3242836,7.460978
lhallee.lhallee_40_full_driveid_8_9,7.5402412,9.755869
lhallee.lhallee_40_target_driveid_10,7.6830344,8.356393
lyu.1,17.127213,17.13837
lyu.2,17.217054,17.190935
lyu.3,17.176336,16.70733
martin.egfr_l111_s89744_mpnn1,18.446884,18.219358
martin.egfr_l121_s46924_mpnn18,16.59506,15.715752
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,17.458982,17.371208
merlettaia.seq0v4,13.714934,15.761483
merlettaia.seq70v3,14.752859,15.038994
minji.lee.111,11.903296,11.02094
minji.lee.3458,12.562733,10.746377
minji.lee.386,12.982115,13.76329
minji.lee.3995,12.5807905,12.340182
minji.lee.459,11.498373,11.432643
nicholas-schnicker.schnick_04,15.685767,15.57792
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,16.817911,16.683182
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,16.929392,16.709751
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,15.010535,14.7357
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,11.044257,11.651723
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,13.473458,13.43638
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,12.62123,12.123221
noah.holzleitner.noah_egfr-binder_1,12.195165,12.195172
noah.holzleitner.noah_egfr-binder_2,12.080961,12.098361
noah.holzleitner.noah_egfr-binder_3,12.089728,12.0680485
noah.holzleitner.noah_egfr-binder_4,12.862499,12.36595
noah.holzleitner.noah_egfr-binder_8,12.900081,12.530785
pastei5.egfr_binder_01,12.301895,19.41906
paulafcfranklin.synth_rosetta_1,12.128466,9.267343
paulafcfranklin.synth_rosetta_10,13.2955885,13.014115
paulafcfranklin.synth_rosetta_2,12.109703,10.091889
paulafcfranklin.synth_rosetta_3,13.306693,9.892463
paulafcfranklin.synth_rosetta_4,12.05274,8.831073
paulafcfranklin.synth_rosetta_5,13.41674,10.697382
paulafcfranklin.synth_rosetta_6,13.403624,11.413411
paulafcfranklin.synth_rosetta_7,12.240125,8.677942
paulafcfranklin.synth_rosetta_8,13.368244,9.384248
paulafcfranklin.synth_rosetta_9,13.314679,13.420953
praghava531.seq2,13.572222,13.712574
qilin_y.test4,12.261531,12.338999
qilin_y.test5,12.320759,11.721747
qilin_y.test6,13.8728485,14.01388
qilin_y.test7,17.94422,9.355112
qilin_y.test8,11.454942,8.193911
qxy615.s1_rfd_base_46_60,11.190206,11.3379755
qxy615.s1_rfd_base_46_94,11.131158,10.992622
qxy615.s1_rfd_comp_beta_782_81,12.4117,10.591612
qy.qilin.yu.10-13-21_sample267_complex_42_complex,11.398056,10.862282
revoli.mutated_nab_5,13.638744,15.660779
revoli.mutated_nab_8,13.720903,15.66979
revoli.mutated_nab_9,13.562728,16.208067
rohith.mohan.model_67_69_2,13.981363,11.838593
s1995825.cotimed_egf_netsolp_usability_1,12.617804,12.279862
s1995825.cotimed_egf_netsolp_usability_2,12.570507,11.258713
s1995825.cotimed_egf_netsolp_usability_3,12.6474695,11.884642
s1995825.cotimed_egf_netsolp_usability_4,12.625836,12.301052
s1995825.cotimed_egf_netsolp_usability_5,12.618236,9.9974375
s1995825.cotimed_egf_netsolp_usability_6,12.414035,12.56577
s1995825.cotimed_egf_netsolp_usability_7,12.443968,11.943291
s1995825.cotimed_egf_netsolp_usability_8,12.409306,10.990855
s1995825.timed_egf_netsolp_usability_consensus_1,12.60492,10.556103
s1995825.timed_egf_netsolp_usability_consensus_2,12.514259,12.110518
salireza111.seq119_3_001_8,11.349631,11.003803
salireza111.seq166_1_001_7,11.279206,12.755654
salireza111.seq166_3_002_4,11.360079,11.216741
salireza111.seq166_7_003_9,11.31573,11.286764
salireza111.seq206_1_001_6,15.472518,11.961979
silvia.toscani.b_egfr_6,12.142405,12.186371
spacecruiser42.d2_prompt_binder_t0.8_42,6.812754,6.8546033
spacecruiser42.d2_prompt_binder_t0.8_88,7.522707,7.1121726
spacecruiser42.d2_prompt_binder_t1.0_139,6.799035,6.959295
spacecruiser42.d2_prompt_binder_t1.0_22,5.987619,6.855433
spacecruiser42.d2_prompt_binder_t1.0_37,7.6773834,8.801728
tadaskluonis.cotimed_egf_bcseq_0,12.384081,7.5718694
tadaskluonis.cotimed_egf_bcseq_1,12.402266,11.786958
tadaskluonis.cotimed_egf_bcseq_2,12.586774,12.10489
tadej.satler.egfr_binder_3,18.111883,18.138325
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,15.5351,15.461565
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,14.332126,15.420692
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,14.200049,15.835414
toluwase.fatoki.toluwase_sequence3_119,18.191736,15.951249
toluwase.fatoki.toluwase_sequence6_112,15.308054,14.135549
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,16.734875,14.701278
x.rustamov.p_vhh_partial_1_32,14.807116,15.053432
x.rustamov.traj_11_8_model_5_0,14.90566,14.464498
x.rustamov.traj_4_8_model_1_5,15.020893,14.50107
x.rustamov.traj_6_1_model_1_8,14.901186,15.010564
x.rustamov.traj_9_8_model_1_0,14.951419,14.921551
youngsuko2000.fast4,11.994731,11.621227
youngsuko2000.last,11.952553,11.746325
youngsuko2000.queen,12.048143,10.947443
z_peplib.pepseq_design_6,19.844894,10.10302
z_peplib.pepseq_design_8,10.743028,10.709121
z_peplib.pepseq_design_9,17.049221,14.80035
zulfatmi.pocket1pep78,3.9761262,5.3757324
zulfatmi.pocket2pep63,6.5184655,6.361654
zulfatmi.pocket7pep42,5.707196,7.2680664
