name,iptm,ptm,fraction_disordered,ranking_score,chain_iptm,chain_pair_iptm,chain_ptm
paulafcfranklin.synth_rosetta_1,0.9,0.73,0.04,0.89,"[0.9, 0.9]","[[0.66, 0.9], [0.9, 0.71]]","[0.66, 0.71]"
merlettaia.seq0v3,0.13,0.6,0.02,0.23,"[0.13, 0.13]","[[0.78, 0.13], [0.13, 0.68]]","[0.78, 0.68]"
minji.lee.459,0.46,0.69,0.02,0.52,"[0.46, 0.46]","[[0.72, 0.46], [0.46, 0.72]]","[0.72, 0.72]"
spacecruiser42.d2_prompt_binder_t1.0_22,0.64,0.76,0.05,0.69,"[0.64, 0.64]","[[0.02, 0.64], [0.64, 0.77]]","[0.02, 0.77]"
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,0.91,0.77,0.02,0.89,"[0.91, 0.91]","[[0.87, 0.91], [0.91, 0.74]]","[0.87, 0.74]"
qxy615.s1_rfd_base_46_94,0.74,0.71,0.02,0.74,"[0.74, 0.74]","[[0.54, 0.74], [0.74, 0.7]]","[0.54, 0.7]"
youngsuko2000.ysar,0.89,0.75,0.02,0.88,"[0.89, 0.89]","[[0.65, 0.89], [0.89, 0.74]]","[0.65, 0.74]"
christoph.gruber.binder12_1,0.65,0.71,0.02,0.67,"[0.65, 0.65]","[[0.49, 0.65], [0.65, 0.71]]","[0.49, 0.71]"
merlettaia.seq52v3,0.15,0.61,0.02,0.25,"[0.15, 0.15]","[[0.79, 0.15], [0.15, 0.69]]","[0.79, 0.69]"
briannaughton.1_plus_2,0.62,0.65,0.04,0.64,"[0.62, 0.62]","[[0.51, 0.62], [0.62, 0.7]]","[0.51, 0.7]"
cchallacombe.4,0.16,0.63,0.02,0.26,"[0.16, 0.16]","[[0.8, 0.16], [0.16, 0.71]]","[0.8, 0.71]"
allongoldberg.4_44_14_refined_ideal,0.33,0.6,0.02,0.39,"[0.33, 0.33]","[[0.81, 0.33], [0.33, 0.66]]","[0.81, 0.66]"
tarkhov.andrey.erithacus_rubecula_gigantus_1,0.29,0.59,0.04,0.37,"[0.29, 0.29]","[[0.35, 0.29], [0.29, 0.7]]","[0.35, 0.7]"
paulafcfranklin.synth_rosetta_4,0.9,0.72,0.02,0.88,"[0.9, 0.9]","[[0.66, 0.9], [0.9, 0.7]]","[0.66, 0.7]"
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,0.41,0.62,0.02,0.46,"[0.41, 0.41]","[[0.54, 0.41], [0.41, 0.69]]","[0.54, 0.69]"
amelie.schreiber.model_56_119_15,0.92,0.77,0.02,0.9,"[0.92, 0.92]","[[0.78, 0.92], [0.92, 0.75]]","[0.78, 0.75]"
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,0.92,0.78,0.02,0.9,"[0.92, 0.92]","[[0.83, 0.92], [0.92, 0.76]]","[0.83, 0.76]"
aswini.seed2_1,0.22,0.73,0.02,0.33,"[0.22, 0.22]","[[0.46, 0.22], [0.22, 0.76]]","[0.46, 0.76]"
x.rustamov.traj_4_8_model_1_5,0.14,0.6,0.02,0.24,"[0.14, 0.14]","[[0.83, 0.14], [0.14, 0.68]]","[0.83, 0.68]"
ccalia.paesani_lab_design9,0.58,0.6,0.06,0.61,"[0.58, 0.58]","[[0.35, 0.58], [0.58, 0.68]]","[0.35, 0.68]"
minji.lee.111,0.13,0.62,0.02,0.24,"[0.13, 0.13]","[[0.48, 0.13], [0.13, 0.66]]","[0.48, 0.66]"
a.tucs.andrejs_tucs_seq8,0.91,0.76,0.02,0.89,"[0.91, 0.91]","[[0.65, 0.91], [0.91, 0.74]]","[0.65, 0.74]"
merlettaia.seq70v3,0.15,0.61,0.02,0.25,"[0.15, 0.15]","[[0.81, 0.15], [0.15, 0.69]]","[0.81, 0.69]"
s1995825.cotimed_egf_netsolp_usability_8,0.85,0.69,0.03,0.83,"[0.85, 0.85]","[[0.63, 0.85], [0.85, 0.68]]","[0.63, 0.68]"
lhallee.lhallee_20_on_target_2000,0.28,0.76,0.05,0.4,"[0.28, 0.28]","[[0.03, 0.28], [0.28, 0.78]]","[0.03, 0.78]"
