Complex,binder_rmsd_aligned_on_binder,binder_rmsd_aligned_on_target
724928537.dbz6___a,25.477146,22.067274
724928537.dbz7___a,31.909708,21.776894
724928537.dbz8___a,27.122414,21.142857
ali.rasouli.intern.model_77_142_3,11.946539,23.750914
amirm.mhosseini.seq1,13.827473,2.5662918
amirm.mhosseini.seq3,13.451251,21.903267
amirm.mhosseini.seq4,14.319187,21.396797
amirm.mhosseini.seq9,14.711915,21.90237
human_egf,14.084179,3.2134175
reed.harrison.model_56_119_0,15.877114,23.526468
a.tucs.andrejs_tucs_seq1,13.314266,3.3903651
a.tucs.andrejs_tucs_seq10,14.906688,3.4215865
a.tucs.andrejs_tucs_seq2,16.435282,2.7878582
a.tucs.andrejs_tucs_seq3,16.13723,2.7568002
a.tucs.andrejs_tucs_seq4,11.080566,2.9787433
a.tucs.andrejs_tucs_seq5,13.73106,2.4692202
a.tucs.andrejs_tucs_seq6,17.172674,22.01641
a.tucs.andrejs_tucs_seq7,14.067774,2.5623882
a.tucs.andrejs_tucs_seq8,14.047359,2.9613016
a.tucs.andrejs_tucs_seq9,13.043563,3.390276
akash.arunabharathi.design10,15.736871,23.18682
akash.arunabharathi.design3,15.490072,22.904444
akash.arunabharathi.design4,25.120792,24.226183
akash.arunabharathi.design8,24.455036,21.618305
akash.arunabharathi.design9,31.36019,22.50711
alan.blakely.12_3,35.107513,24.125786
alan.blakely.12_6,29.64375,22.258327
alan.blakely.16_2,30.45297,21.991459
alecl.relaxeda,15.726073,2.769644
alecl.unrelaxeda,14.274104,2.7950716
alejandro.corrochano-navarro.eng_scfv_binder_1,26.67738,2.9957478
alejandro.corrochano-navarro.eng_scfv_binder_2,29.093544,22.107872
alejandro.corrochano-navarro.eng_scfv_binder_3,26.868916,2.6564004
alessio.daddio.ad_1,20.910576,22.544415
alessio.daddio.ad_4,12.191658,22.08306
alessio.daddio.ad_9,35.724724,23.508873
alex.naka.blastoise,15.818576,2.8510275
alex.naka.charizard,12.556423,21.921535
alex.naka.charmander,17.62687,2.7795284
alex.naka.charmeleon,12.921058,22.727945
alex.naka.ivysaur,14.525926,2.7168298
alex.naka.squirtle,13.905728,2.5896585
alex.naka.venusaur,20.461119,24.07785
alex.naka.wartortle,16.775862,3.6434379
allongoldberg.3_52,15.01592,21.72545
allongoldberg.3_52_10_refined_ideal,15.141367,24.089094
allongoldberg.3_52_1_refined,12.341196,21.898962
allongoldberg.4_44,23.795382,22.736067
allongoldberg.4_44_0_refined,20.535341,22.727383
allongoldberg.4_44_14_refined_ideal,11.644897,22.15439
amelie.schreiber.model_56_119_15,18.61549,22.650175
amelie.schreiber.model_60_151_9,17.748741,22.8234
amelie.schreiber.model_83_156_16,24.791409,23.20305
amirmhosseini47.mohammad_seq2,16.100842,2.8388534
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,12.545623,22.278881
antorsae.ta525_0_0,13.475161,23.096792
antorsae.ta_4_4,13.204198,22.682356
antorsae.ta_4_5,10.649388,23.476427
antorsae.ta_5_1,20.03588,21.699883
antorsae.ta_5_2,10.743687,22.857157
antorsae.ta_5_3,12.978418,22.312307
antorsae.ta397unsafety_2,19.202011,22.354841
areddy.egfr_l169_s781475,29.738983,23.001116
aswini.clipgen30,12.184457,22.353598
aswini.seed1,15.32528,21.643757
aswini.seed1_1,16.10307,23.143183
aswini.seed2_1,13.93581,22.977316
aswini.seed2_3,15.115155,22.432976
aswinijavadi160197.8_a,22.760874,21.12015
aureliabustos.bce_var433,12.512387,2.7244112
aureliabustos.bce_var464,11.681898,2.9633994
aureliabustos.bce_var702,18.624039,2.6962516
aureliabustos.wt_noised_i_scaffold_shorted_var71,17.604328,3.478727
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,12.3006315,2.986701
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,18.117273,2.7220473
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,13.077455,3.3237665
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,20.624613,2.910321
baptiste.roelens.ognk,22.309772,22.916851
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,18.98638,23.050095
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,17.886925,23.112358
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,22.147053,23.801163
binom16.pocket1pep15,5.580996,22.778786
binom16.pocket2pep86,5.663836,22.951319
binom16.pocket2pep89,9.283187,22.825472
binom16.pocket3pep98,7.7947583,22.184351
binom16.pocket7pep80,7.008025,22.394926
biolucasmachado.engineered_binder_1,13.787754,22.102304
biolucasmachado.engineered_binder_2,17.691198,22.065655
biolucasmachado.engineered_binder_3,15.977167,2.8442914
biolucasmachado.engineered_binder_4,20.948887,2.7871785
biolucasmachado.engineered_binder_5,21.164337,2.630241
biolucasmachado.engineered_binder_6,14.171354,2.2395225
biolucasmachado.engineered_binder_7,15.618646,2.5809216
biolucasmachado.engineered_binder_8,19.179367,2.7285426
biolucasmachado.engineered_binder_9,15.041395,2.7385862
briannaughton.1_plus_2,31.68832,24.588802
briannaughton.1_plus_egfr,25.69938,20.716404
briannaughton.2_plus_1,28.315008,21.809189
briannaughton.2_plus_2,51.83697,23.183811
briannaughton.egfr_plus_egfr,22.660368,22.845892
bronte.egfr_binder_4_91,20.623024,21.365503
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,19.30422,22.567043
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,10.665965,21.32048
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,14.668608,21.78405
cameron.kroll.gertrude_gen3,20.014767,23.431597
cameron.kroll.gertrude_gen3_s69d_n61e,21.520931,21.87775
cameron.kroll.gertrude_gen5,20.303307,21.749496
cameron.kroll.gertrude_gen6,26.709656,22.15103
cameron.kroll.leitner,19.942942,22.622562
carson.vaux.baker1_18,14.6018715,22.35181
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,14.415891,23.701023
ccalia.paesani_lab_design1,28.660007,24.647558
ccalia.paesani_lab_design2,31.44802,23.870085
ccalia.paesani_lab_design3,31.312874,22.190157
ccalia.paesani_lab_design8,34.286045,23.311079
ccalia.paesani_lab_design9,31.69297,21.240314
cchallacombe.1,26.601654,23.514965
cchallacombe.4,30.537914,22.832611
cchallacombe.6,21.632843,22.65947
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,17.957705,22.273157
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,22.055216,21.76611
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,21.810656,23.292019
christoph.gruber.binder12_1,28.968954,21.912544
christoph.gruber.upperbinder_scaffold1_lowerbinder,26.962118,25.771225
christoph.gruber.upperbinder_scaffold2_lowerbinder,17.404827,23.151758
christoph.gruber.upperbinder_scaffold3_lowerbinder,22.961424,21.9407
christoph.gruber.upperbinder_xten_lowerbinder,14.038128,22.910742
chrisxushaoyong.hu_nano1_1_ff3e18,20.456955,23.035646
chrisxushaoyong.hu_nano1_3_eef94e,23.513287,22.454576
chrisxushaoyong.hu_nano1_5_559c85,29.014044,22.844225
chrisxushaoyong.hu_nano2_2_7ef96e,27.059998,21.191679
chrisxushaoyong.hu_nano2_4_85252b,25.292835,23.705008
chuh.egfr_seg1_l58_s941869_mpnn2,23.401762,23.713596
chuh.egfr_seg2_l58_s53469_mpnn1,16.288864,23.085104
chuh.egfr_seg2_l62_s244475_mpnn4,16.37181,22.250525
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,28.38631,23.779802
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,34.958534,23.66848
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,32.933113,23.52787
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,32.24697,3.3011436
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,27.795317,2.468583
coreyhowe99.corey82,13.338514,23.4922
darius.szablowski.egfr_binder_1___top_binder_1,27.465218,22.669498
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,23.776857,22.423166
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,26.114454,22.613956
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,36.465347,22.588575
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,32.351406,22.881298
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,23.37738,22.665247
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,17.755686,22.550253
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,20.83243,22.271637
dre.lgdl_egfr_001,11.258954,21.83293
dre.lgdl_egfr_008,14.216241,22.559868
duynth29.duy_l111_mpnn14,20.72438,22.648394
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,19.824121,22.588106
duynth29.duy_l111_mpnn14_l80m_l42m,19.365782,22.559298
duynth29.l148_mpnn1,20.069225,22.196177
duynth29.l88_mpnn5,20.507013,22.948565
eceiiitn786.8s2,20.713696,23.502901
elian.elian1,20.70391,22.911568
elian.elian2,19.383297,24.1763
elian.elian3,25.366858,23.251106
elian.elian4,18.80239,22.07908
elian.elian5,23.627388,23.321186
