complex,AF3_binder_Interface_size,Protenix_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,Protenix_Target_interface_size,target_jaccard
paulafcfranklin.synth_rosetta_1,34,50,0.6153846153846154,42,106,0.04964539007092199
merlettaia.seq0v3,32,52,0.4,33,86,0.10185185185185185
minji.lee.459,18,24,0.5555555555555556,19,32,0.0625
spacecruiser42.d2_prompt_binder_t1.0_22,13,18,0.7222222222222222,20,72,0.045454545454545456
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,24,40,0.4883720930232558,29,58,0.0875
qxy615.s1_rfd_base_46_94,19,38,0.5,24,66,0.0
youngsuko2000.ysar,34,46,0.48148148148148145,41,82,0.025
christoph.gruber.binder12_1,13,49,0.21568627450980393,19,64,0.07792207792207792
merlettaia.seq52v3,14,65,0.1791044776119403,25,96,0.025423728813559324
briannaughton.1_plus_2,30,66,0.24675324675324675,29,79,0.018867924528301886
cchallacombe.4,29,54,0.296875,35,61,0.054945054945054944
allongoldberg.4_44_14_refined_ideal,22,45,0.4888888888888889,27,66,0.02197802197802198
tarkhov.andrey.erithacus_rubecula_gigantus_1,27,96,0.0603448275862069,27,112,0.02962962962962963
paulafcfranklin.synth_rosetta_4,35,37,0.5652173913043478,39,77,0.06422018348623854
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,50,83,0.33,44,92,0.22522522522522523
amelie.schreiber.model_56_119_15,20,35,0.5277777777777778,32,53,0.0
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,20,45,0.41304347826086957,20,63,0.0
aswini.seed2_1,27,48,0.5,36,85,0.08035714285714286
x.rustamov.traj_4_8_model_1_5,24,53,0.16666666666666666,28,85,0.018018018018018018
ccalia.paesani_lab_design9,38,113,0.2796610169491525,39,136,0.023391812865497075
minji.lee.111,31,35,0.65,31,60,0.05813953488372093
a.tucs.andrejs_tucs_seq8,31,34,0.625,39,58,0.043010752688172046
merlettaia.seq70v3,20,51,0.36538461538461536,21,77,0.053763440860215055
s1995825.cotimed_egf_netsolp_usability_8,32,25,0.5,38,34,0.125
lhallee.lhallee_20_on_target_2000,11,20,0.55,17,68,0.011904761904761904
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,34,47,0.6530612244897959,37,75,0.10891089108910891
alex.naka.ivysaur,33,35,0.3877551020408163,36,54,0.08433734939759036
huiyu.cai.h3_15_4373_h,18,49,0.3673469387755102,20,73,0.03333333333333333
ccalia.paesani_lab_design2,43,103,0.19672131147540983,54,116,0.055900621118012424
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,17,35,0.4857142857142857,23,71,0.14634146341463414
salireza111.seq206_1_001_6,22,36,0.45,22,50,0.07462686567164178
cchallacombe.6,18,43,0.4186046511627907,14,68,0.0
zulfatmi.pocket2pep63,7,17,0.4117647058823529,14,50,0.04918032786885246
junhee.park1999.egfr_binder_9,20,87,0.18888888888888888,27,110,0.007352941176470588
huiyu.cai.h3_15_2847_h,21,36,0.11764705882352941,21,49,0.04477611940298507
