Complex,binder_rmsd_aligned_on_binder,binder_rmsd_aligned_on_target
724928537.dbz6___a,0.75235933,60.894203
724928537.dbz7___a,0.55858046,76.80502
724928537.dbz8___a,1.4150769,53.0619
ali.rasouli.intern.model_77_142_3,7.2192564,43.707706
amirm.mhosseini.seq1,11.72376,19.006632
amirm.mhosseini.seq3,9.391092,15.157877
amirm.mhosseini.seq4,13.612897,16.646235
amirm.mhosseini.seq9,12.221788,18.956797
human_egf,5.024769,5.241079
reed.harrison.model_56_119_0,0.25622705,2.7637496
a.tucs.andrejs_tucs_seq1,0.8669886,1.4791963
a.tucs.andrejs_tucs_seq10,0.58539724,1.241478
a.tucs.andrejs_tucs_seq2,0.71168053,1.294016
a.tucs.andrejs_tucs_seq3,1.047373,1.7134869
a.tucs.andrejs_tucs_seq4,1.2495153,2.51062
a.tucs.andrejs_tucs_seq5,0.94493735,1.5968148
a.tucs.andrejs_tucs_seq6,3.0994205,43.281372
a.tucs.andrejs_tucs_seq7,6.5377126,9.216852
a.tucs.andrejs_tucs_seq8,0.6094036,1.5371195
a.tucs.andrejs_tucs_seq9,0.76390797,1.0921407
akash.arunabharathi.design10,5.5371284,73.44104
akash.arunabharathi.design3,5.4481387,76.17244
akash.arunabharathi.design4,12.634321,76.2855
akash.arunabharathi.design8,14.930035,47.23406
akash.arunabharathi.design9,30.831568,111.1197
alan.blakely.12_3,21.540478,51.190186
alan.blakely.12_6,11.831516,13.301696
alan.blakely.16_2,13.541013,14.146111
alecl.relaxeda,3.275733,4.8176107
alecl.unrelaxeda,0.61575717,1.1767535
alejandro.corrochano-navarro.eng_scfv_binder_1,1.5988412,7.8575444
alejandro.corrochano-navarro.eng_scfv_binder_2,2.2272818,8.996904
alejandro.corrochano-navarro.eng_scfv_binder_3,1.4955105,9.849321
alessio.daddio.ad_1,0.65172833,6.1746945
alessio.daddio.ad_4,0.38445637,2.820615
alessio.daddio.ad_9,0.56557107,4.201877
alex.naka.blastoise,10.827048,14.562771
alex.naka.charizard,9.934326,42.85183
alex.naka.charmander,10.852626,11.904714
alex.naka.charmeleon,13.788243,54.118767
alex.naka.ivysaur,11.91514,15.972749
alex.naka.squirtle,10.969583,26.80877
alex.naka.venusaur,11.667573,17.441242
alex.naka.wartortle,10.39648,45.650898
allongoldberg.3_52,1.3697734,81.54933
allongoldberg.3_52_10_refined_ideal,0.7851748,75.554756
allongoldberg.3_52_1_refined,1.3046389,17.29614
allongoldberg.4_44,3.3844335,56.653233
allongoldberg.4_44_0_refined,0.91727346,7.7377143
allongoldberg.4_44_14_refined_ideal,0.84753704,6.817507
amelie.schreiber.model_56_119_15,0.29116145,6.034266
amelie.schreiber.model_60_151_9,0.780725,6.746505
amelie.schreiber.model_83_156_16,0.3629978,3.0875032
amirmhosseini47.mohammad_seq2,7.490587,8.745107
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,1.1924976,5.0137653
antorsae.ta525_0_0,0.5021098,42.45153
antorsae.ta_4_4,1.3039099,20.50112
antorsae.ta_4_5,1.2672627,20.427086
antorsae.ta_5_1,7.361109,52.685394
antorsae.ta_5_2,5.3828216,22.042082
antorsae.ta_5_3,0.717837,23.90604
antorsae.ta397unsafety_2,9.583368,45.70017
areddy.egfr_l169_s781475,0.6920655,5.812772
aswini.clipgen30,11.569719,24.772633
aswini.seed1,10.309133,43.08246
aswini.seed1_1,12.159776,49.756786
aswini.seed2_1,11.232647,45.78717
aswini.seed2_3,9.137842,46.288742
aswinijavadi160197.8_a,0.4209081,83.982765
aureliabustos.bce_var433,1.791672,2.217976
aureliabustos.bce_var464,1.6617242,1.8784894
aureliabustos.bce_var702,1.6022481,2.2141879
aureliabustos.wt_noised_i_scaffold_shorted_var71,11.722912,12.692027
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,11.831258,14.72044
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,13.487257,24.084743
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,9.280242,11.601258
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,10.426591,15.364651
baptiste.roelens.ognk,0.45884296,37.090916
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,0.43625346,7.6268353
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,0.55458796,37.328133
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,1.1227565,5.300883
binom16.pocket1pep15,5.2712007,23.676062
binom16.pocket2pep86,4.728107,16.978298
binom16.pocket2pep89,2.2180874,13.707973
binom16.pocket3pep98,5.25794,61.02029
binom16.pocket7pep80,5.762615,16.046318
biolucasmachado.engineered_binder_1,15.153114,46.245243
biolucasmachado.engineered_binder_2,13.2473135,41.10442
biolucasmachado.engineered_binder_3,12.657736,14.248695
biolucasmachado.engineered_binder_4,12.65112,20.604013
biolucasmachado.engineered_binder_5,7.542563,9.254655
biolucasmachado.engineered_binder_6,1.8885398,3.0612314
biolucasmachado.engineered_binder_7,11.846906,16.927477
biolucasmachado.engineered_binder_8,8.84218,10.259868
biolucasmachado.engineered_binder_9,1.7902646,2.9342816
briannaughton.1_plus_2,17.940086,38.469444
briannaughton.1_plus_egfr,9.968577,12.778445
briannaughton.2_plus_1,5.9848,12.494118
briannaughton.2_plus_2,25.538614,34.05023
briannaughton.egfr_plus_egfr,20.902376,41.01951
bronte.egfr_binder_4_91,0.8290855,15.03505
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,0.94468945,5.619343
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,0.41414353,68.85186
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,0.6053797,19.231785
cameron.kroll.gertrude_gen3,0.24364966,6.6557083
cameron.kroll.gertrude_gen3_s69d_n61e,0.39244163,23.171127
cameron.kroll.gertrude_gen5,0.34033865,10.208249
cameron.kroll.gertrude_gen6,0.3264899,11.183322
cameron.kroll.leitner,0.4510848,52.793938
