Complex,af3_contacts,of3_contacts,overlap_contacts
724928537.dbz6___a,69,174,0
724928537.dbz7___a,42,121,5
724928537.dbz8___a,44,183,0
ali.rasouli.intern.model_77_142_3,60,122,2
amirm.mhosseini.seq1,118,94,1
amirm.mhosseini.seq3,53,114,5
amirm.mhosseini.seq4,57,127,2
amirm.mhosseini.seq9,53,128,4
human_egf,101,96,1
reed.harrison.model_56_119_0,74,140,10
a.tucs.andrejs_tucs_seq1,104,88,8
a.tucs.andrejs_tucs_seq10,100,81,13
a.tucs.andrejs_tucs_seq2,110,140,10
a.tucs.andrejs_tucs_seq3,107,95,13
a.tucs.andrejs_tucs_seq4,99,93,4
a.tucs.andrejs_tucs_seq5,98,102,4
a.tucs.andrejs_tucs_seq6,53,107,1
a.tucs.andrejs_tucs_seq7,100,79,6
a.tucs.andrejs_tucs_seq8,101,77,8
a.tucs.andrejs_tucs_seq9,101,116,12
akash.arunabharathi.design10,48,56,0
akash.arunabharathi.design3,43,54,0
akash.arunabharathi.design4,51,209,0
akash.arunabharathi.design8,50,284,0
akash.arunabharathi.design9,25,196,1
alan.blakely.12_3,114,293,10
alan.blakely.12_6,99,291,1
alan.blakely.16_2,129,241,1
alecl.relaxeda,102,134,2
alecl.unrelaxeda,99,116,10
alejandro.corrochano-navarro.eng_scfv_binder_1,65,238,0
alejandro.corrochano-navarro.eng_scfv_binder_2,63,306,0
alejandro.corrochano-navarro.eng_scfv_binder_3,65,229,0
alessio.daddio.ad_1,91,194,0
alessio.daddio.ad_4,81,113,3
alessio.daddio.ad_9,62,119,9
alex.naka.blastoise,115,95,0
alex.naka.charizard,53,123,5
alex.naka.charmander,122,84,2
alex.naka.charmeleon,53,142,3
alex.naka.ivysaur,110,89,3
alex.naka.squirtle,104,95,3
alex.naka.venusaur,46,107,0
alex.naka.wartortle,100,105,0
allongoldberg.3_52,51,95,0
allongoldberg.3_52_10_refined_ideal,74,120,1
allongoldberg.3_52_1_refined,55,147,3
allongoldberg.4_44,60,239,6
allongoldberg.4_44_0_refined,67,181,4
allongoldberg.4_44_14_refined_ideal,76,170,4
amelie.schreiber.model_56_119_15,77,150,5
amelie.schreiber.model_60_151_9,78,142,1
amelie.schreiber.model_83_156_16,87,176,2
amirmhosseini47.mohammad_seq2,107,140,13
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,50,136,14
