complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard,design_class,binding,binding_strength
724928537.dbz6___a,24,45,0.1694915254237288,25,73,0.2098765432098765,Nanobody,False,
724928537.dbz7___a,14,34,0.1428571428571428,16,65,0.1571428571428571,Nanobody,False,
724928537.dbz8___a,17,50,0.046875,16,85,0.188235294117647,Nanobody,False,
ali.rasouli.intern.model_77_142_3,22,30,0.1818181818181818,23,69,0.2266666666666666,Miniprotein,False,
amirm.mhosseini.seq1,36,28,0.3617021276595745,41,51,0.4375,Peptide,False,
amirm.mhosseini.seq3,16,20,0.2413793103448276,18,46,0.3061224489795918,Peptide,False,
amirm.mhosseini.seq4,19,32,0.2439024390243902,16,61,0.2222222222222222,Peptide,False,
amirm.mhosseini.seq9,18,32,0.282051282051282,18,55,0.2807017543859649,Peptide,False,
human_egf,33,24,0.4615384615384615,40,43,0.509090909090909,Peptide,True,Medium
reed.harrison.model_56_119_0,20,35,0.3095238095238095,32,65,0.2933333333333333,Miniprotein,False,
a.tucs.andrejs_tucs_seq1,31,21,0.3333333333333333,40,42,0.6078431372549019,Peptide,True,Weak
a.tucs.andrejs_tucs_seq10,30,21,0.275,41,46,0.5818181818181818,Peptide,False,
a.tucs.andrejs_tucs_seq2,32,30,0.55,40,70,0.4285714285714285,Peptide,False,
a.tucs.andrejs_tucs_seq3,31,24,0.4102564102564102,40,45,0.3492063492063492,Peptide,True,Weak
a.tucs.andrejs_tucs_seq4,30,23,0.358974358974359,39,44,0.5961538461538461,Peptide,False,
a.tucs.andrejs_tucs_seq5,31,26,0.425,37,54,0.3382352941176471,Peptide,True,Medium
a.tucs.andrejs_tucs_seq6,18,24,0.3125,24,61,0.25,Peptide,False,
a.tucs.andrejs_tucs_seq7,32,19,0.2439024390243902,38,41,0.5192307692307693,Peptide,True,Weak
a.tucs.andrejs_tucs_seq8,31,24,0.375,39,38,0.4,Peptide,True,Medium
a.tucs.andrejs_tucs_seq9,31,24,0.4473684210526316,36,59,0.4393939393939394,Peptide,False,
akash.arunabharathi.design10,15,18,0.1785714285714285,20,30,0.0,Peptide,False,
akash.arunabharathi.design3,11,15,0.1304347826086956,18,31,0.0,Peptide,False,
akash.arunabharathi.design4,14,56,0.2068965517241379,24,103,0.0,Other,False,
akash.arunabharathi.design8,19,71,0.0843373493975903,20,108,0.1428571428571428,Other,False,
akash.arunabharathi.design9,8,56,0.1034482758620689,13,87,0.1363636363636363,Other,False,
alan.blakely.12_3,40,88,0.1636363636363636,41,127,0.1506849315068493,Other,True,Medium
alan.blakely.12_6,33,88,0.1862745098039215,36,131,0.218978102189781,Other,True,Medium
alan.blakely.16_2,41,76,0.17,45,113,0.264,Other,True,Medium
alecl.relaxeda,32,33,0.4130434782608695,36,74,0.4473684210526316,Peptide,False,
alecl.unrelaxeda,28,28,0.3658536585365853,40,46,0.6862745098039216,Peptide,False,
alejandro.corrochano-navarro.eng_scfv_binder_1,22,88,0.134020618556701,23,111,0.0983606557377049,scFv,False,
alejandro.corrochano-navarro.eng_scfv_binder_2,22,84,0.1397849462365591,22,124,0.1496062992125984,scFv,True,Weak
alejandro.corrochano-navarro.eng_scfv_binder_3,22,75,0.127906976744186,23,104,0.0854700854700854,scFv,False,
alessio.daddio.ad_1,31,50,0.3278688524590163,36,86,0.2323232323232323,Miniprotein,False,
alessio.daddio.ad_4,30,25,0.2790697674418604,27,46,0.3518518518518518,Miniprotein,False,
alessio.daddio.ad_9,23,27,0.3157894736842105,26,62,0.2394366197183098,Other,False,
alex.naka.blastoise,33,23,0.3023255813953488,41,46,0.6111111111111112,Peptide,False,
alex.naka.charizard,16,32,0.2972972972972973,23,65,0.2222222222222222,Peptide,False,
alex.naka.charmander,36,23,0.3720930232558139,43,43,0.6226415094339622,Peptide,False,
alex.naka.charmeleon,17,31,0.2972972972972973,21,72,0.24,Peptide,False,
alex.naka.ivysaur,33,23,0.2727272727272727,36,44,0.6,Peptide,False,
alex.naka.squirtle,31,24,0.3414634146341463,44,41,0.5178571428571429,Peptide,False,
alex.naka.venusaur,15,24,0.21875,20,61,0.208955223880597,Peptide,False,
alex.naka.wartortle,31,26,0.3571428571428571,43,53,0.6,Peptide,False,
allongoldberg.3_52,16,24,0.2121212121212121,21,55,0.0,Miniprotein,False,
allongoldberg.3_52_10_refined_ideal,20,29,0.3611111111111111,26,57,0.2205882352941176,Miniprotein,False,
allongoldberg.3_52_1_refined,16,34,0.282051282051282,23,75,0.180722891566265,Miniprotein,False,
allongoldberg.4_44,20,64,0.1666666666666666,24,111,0.1842105263157894,Other,False,
allongoldberg.4_44_0_refined,19,53,0.180327868852459,27,79,0.3086419753086419,Other,False,
