complex_id,af3_contacts,helixfold_contacts,overlap_contacts
724928537.dbz6___a,69,39,0
724928537.dbz7___a,42,46,0
724928537.dbz8___a,44,74,6
ali.rasouli.intern.model_77_142_3,60,94,2
amirm.mhosseini.seq1,118,65,6
amirm.mhosseini.seq3,53,44,24
amirm.mhosseini.seq4,57,52,32
amirm.mhosseini.seq9,53,54,34
human_egf,101,104,61
reed.harrison.model_56_119_0,74,63,52
a.tucs.andrejs_tucs_seq1,104,98,93
a.tucs.andrejs_tucs_seq10,100,99,94
a.tucs.andrejs_tucs_seq2,110,104,96
a.tucs.andrejs_tucs_seq3,107,104,97
a.tucs.andrejs_tucs_seq4,99,104,87
a.tucs.andrejs_tucs_seq5,98,95,87
a.tucs.andrejs_tucs_seq6,53,66,17
a.tucs.andrejs_tucs_seq7,100,83,23
a.tucs.andrejs_tucs_seq8,101,105,96
a.tucs.andrejs_tucs_seq9,101,96,89
akash.arunabharathi.design10,48,71,0
akash.arunabharathi.design3,43,52,0
akash.arunabharathi.design4,51,57,0
akash.arunabharathi.design8,50,63,0
akash.arunabharathi.design9,25,55,0
alan.blakely.12_3,114,128,75
alan.blakely.12_6,99,163,75
alan.blakely.16_2,129,125,80
alecl.relaxeda,102,71,33
alecl.unrelaxeda,99,98,83
alejandro.corrochano-navarro.eng_scfv_binder_1,65,60,56
alejandro.corrochano-navarro.eng_scfv_binder_2,63,60,53
alejandro.corrochano-navarro.eng_scfv_binder_3,65,64,59
alessio.daddio.ad_1,91,87,78
alessio.daddio.ad_4,81,67,56
alessio.daddio.ad_9,62,65,59
alex.naka.blastoise,115,103,11
alex.naka.charizard,53,83,4
alex.naka.charmander,122,81,2
alex.naka.charmeleon,53,47,0
alex.naka.ivysaur,110,77,7
alex.naka.squirtle,104,49,1
alex.naka.venusaur,46,50,20
alex.naka.wartortle,100,47,8
allongoldberg.3_52,51,41,0
allongoldberg.3_52_10_refined_ideal,74,47,0
allongoldberg.3_52_1_refined,55,63,22
allongoldberg.4_44,60,60,0
allongoldberg.4_44_0_refined,67,73,45
allongoldberg.4_44_14_refined_ideal,76,46,25
amelie.schreiber.model_56_119_15,77,69,58
amelie.schreiber.model_60_151_9,78,58,53
amelie.schreiber.model_83_156_16,87,89,70
amirmhosseini47.mohammad_seq2,107,113,95
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,50,51,47
antorsae.ta525_0_0,50,92,41
antorsae.ta_4_4,52,46,2
antorsae.ta_4_5,56,45,2
antorsae.ta_5_1,40,41,0
antorsae.ta_5_2,56,45,3
antorsae.ta_5_3,50,73,1
antorsae.ta397unsafety_2,42,89,5
areddy.egfr_l169_s781475,97,88,74
aswini.clipgen30,39,107,0
aswini.seed1,98,68,0
aswini.seed1_1,84,66,0
aswini.seed2_1,80,74,0
aswini.seed2_3,70,43,0
aswinijavadi160197.8_a,36,39,0
aureliabustos.bce_var433,99,102,84
aureliabustos.bce_var464,103,105,88
aureliabustos.bce_var702,100,93,83
aureliabustos.wt_noised_i_scaffold_shorted_var71,109,91,48
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,103,106,20
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,102,43,6
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,109,113,47
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,102,62,8
baptiste.roelens.ognk,68,80,47
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,87,81,77
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,64,79,47
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,71,68,55
binom16.pocket1pep15,39,59,0
binom16.pocket2pep86,37,60,7
binom16.pocket2pep89,37,43,15
binom16.pocket3pep98,37,43,0
binom16.pocket7pep80,34,44,5
biolucasmachado.engineered_binder_1,43,83,3
biolucasmachado.engineered_binder_2,60,88,0
biolucasmachado.engineered_binder_3,100,59,7
biolucasmachado.engineered_binder_4,118,100,2
biolucasmachado.engineered_binder_5,114,85,29
biolucasmachado.engineered_binder_6,118,106,92
biolucasmachado.engineered_binder_7,110,50,1
biolucasmachado.engineered_binder_8,119,81,25
biolucasmachado.engineered_binder_9,101,95,86
briannaughton.1_plus_2,86,119,78
briannaughton.1_plus_egfr,147,154,122
briannaughton.2_plus_1,114,92,74
briannaughton.2_plus_2,162,165,84
briannaughton.egfr_plus_egfr,113,89,1
bronte.egfr_binder_4_91,41,62,27
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,80,78,71
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,75,36,0
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,69,37,4
cameron.kroll.gertrude_gen3,75,76,64
cameron.kroll.gertrude_gen3_s69d_n61e,57,74,6
cameron.kroll.gertrude_gen5,73,66,46
cameron.kroll.gertrude_gen6,75,79,52
cameron.kroll.leitner,78,73,2
carson.vaux.baker1_18,45,43,0
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,64,62,57
ccalia.paesani_lab_design1,86,130,66
ccalia.paesani_lab_design2,141,168,64
ccalia.paesani_lab_design3,111,156,71
ccalia.paesani_lab_design8,83,127,0
ccalia.paesani_lab_design9,102,167,87
cchallacombe.1,71,50,0
cchallacombe.4,99,75,0
cchallacombe.6,45,105,0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,77,76,72
