name,binding_strength,binding,expression,pae_interaction,design_models,match_id,complex_id,plddt,gpde,ptm,iptm,chain_gpde,chain_pair_gpde,chain_ptm,chain_iptm,chain_pair_iptm,chain_pair_iptm_global,chain_plddt,chain_pair_plddt,has_clash,disorder,ranking_score,num_recycles,chain_A_plddt,chain_B_plddt
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,strong,true,high,13.582976326497883,"[""Custom PLM""]",round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,33.39107131958008,5.249329566955566,0.2038934230804443,0.1172541081905365,"[4.698374271392822, 4.649453163146973]","[[0.0, 16.134634017944336], [16.134634017944336, 0.0]]","[0.15900380909442902, 0.20968900620937347]","[0.1172541081905365, 0.1172541081905365]","[[0.0, 0.1172541081905365], [0.1172541081905365, 0.0]]","[[0.0, 0.1172541081905365], [0.1172541081905365, 0.0]]","[0.31469279527664185, 0.34125083684921265]","[[0.0, 0.3339107036590576], [0.3339107036590576, 0.0]]",False,0.0,0.1345819681882858,10.0,0.31469279527664185,0.34125083684921265
chrisxushaoyong.hu_nano2_4_85252b,strong,true,high,27.06076571950245,"[""Custom PLM""]",chrisxushaoyong.hu_nano2_4_85252b,chrisxushaoyong.hu_nano2_4_85252b,32.40674591064453,4.94271993637085,0.1964968144893646,0.1064054295420646,"[3.302217960357666, 4.839213848114014]","[[0.0, 15.804915428161621], [15.804915428161621, 0.0]]","[0.2828620970249176, 0.19974376261234283]","[0.10640542954206467, 0.10640542954206467]","[[0.0, 0.10640542954206467], [0.10640542954206467, 0.0]]","[[0.0, 0.10640542954206467], [0.10640542954206467, 0.0]]","[0.3813871443271637, 0.3122624456882477]","[[0.0, 0.32406744360923767], [0.32406744360923767, 0.0]]",False,0.0,0.1244237124919891,10.0,0.3813871443271637,0.3122624456882477
cetuximab_scfv,strong,true,low,,,cetuximab_scfv,cetuximab_scfv,41.27007675170898,4.344527244567871,0.2334987223148346,0.1809920072555542,"[1.9841402769088745, 4.54701566696167]","[[0.0, 15.78225326538086], [15.78225326538086, 0.0]]","[0.4521591365337372, 0.21023927628993988]","[0.1809920072555542, 0.1809920072555542]","[[0.0, 0.1809920072555542], [0.1809920072555542, 0.0]]","[[0.0, 0.1809920072555542], [0.1809920072555542, 0.0]]","[0.5932274460792542, 0.3437504172325134]","[[0.0, 0.4127007722854614], [0.4127007722854614, 0.0]]",False,0.0,0.1914933621883392,10.0,0.5932274460792542,0.3437504172325134
chrisxushaoyong.hu_nano2_2_7ef96e,strong,true,high,27.46436316837208,"[""Custom PLM""]",chrisxushaoyong.hu_nano2_2_7ef96e,chrisxushaoyong.hu_nano2_2_7ef96e,32.24411392211914,4.844360828399658,0.2054220587015152,0.125331163406372,"[3.628582000732422, 4.657920837402344]","[[0.0, 14.837281227111816], [14.837281227111816, 0.0]]","[0.2561109662055969, 0.209207683801651]","[0.12533116340637207, 0.12533116340637207]","[[0.0, 0.12533116340637207], [0.12533116340637207, 0.0]]","[[0.0, 0.12533116340637207], [0.12533116340637207, 0.0]]","[0.3313063979148865, 0.3206060230731964]","[[0.0, 0.32244113087654114], [0.32244113087654114, 0.0]]",False,0.0,0.1413493454456329,10.0,0.3313063979148865,0.3206060230731964
aureliabustos.bce_var433,medium,true,high,7.931915136876007,"[""ProteinMPNN/LigandMPNN""]",aureliabustos.bce_var433,aureliabustos.bce_var433,35.3842887878418,4.52489709854126,0.2179393023252487,0.1117745488882064,"[2.899268388748169, 4.357499122619629]","[[0.0, 16.189870834350586], [16.189870834350586, 0.0]]","[0.1597743034362793, 0.22013626992702484]","[0.11177454888820648, 0.11177454888820648]","[[0.0, 0.11177454888820648], [0.11177454888820648, 0.0]]","[[0.0, 0.11177454888820648], [0.11177454888820648, 0.0]]","[0.35520318150520325, 0.3537300229072571]","[[0.0, 0.3538428843021393], [0.3538428843021393, 0.0]]",False,0.0,0.1330074965953827,10.0,0.35520318150520325,0.3537300229072571
aureliabustos.bce_var464,medium,true,high,7.959212077294685,"[""ProteinMPNN/LigandMPNN""]",aureliabustos.bce_var464,aureliabustos.bce_var464,32.9463005065918,4.851352691650391,0.2001576125621795,0.1075868606567382,"[3.0941953659057617, 4.641795635223389]","[[0.0, 16.319549560546875], [16.319549560546875, 0.0]]","[0.15717151761054993, 0.2014990597963333]","[0.10758686065673828, 0.10758686065673828]","[[0.0, 0.10758686065673828], [0.10758686065673828, 0.0]]","[[0.0, 0.10758686065673828], [0.10758686065673828, 0.0]]","[0.344963014125824, 0.32816728949546814]","[[0.0, 0.32946300506591797], [0.32946300506591797, 0.0]]",False,0.0,0.126101016998291,10.0,0.344963014125824,0.32816728949546814
jvogt4.vogt_scfv_2470,medium,true,medium,17.17749746766402,"[""Custom PLM""]",jvogt4.vogt_scfv_2470,jvogt4.vogt_scfv_2470,38.228790283203125,4.914073944091797,0.2164664566516876,0.1426629275083542,"[3.4831511974334717, 4.741255283355713]","[[0.0, 15.779989242553711], [15.779989242553711, 0.0]]","[0.36966684460639954, 0.20120985805988312]","[0.1426629275083542, 0.1426629275083542]","[[0.0, 0.1426629275083542], [0.1426629275083542, 0.0]]","[[0.0, 0.1426629275083542], [0.1426629275083542, 0.0]]","[0.530774712562561, 0.32576146721839905]","[[0.0, 0.3822879195213318], [0.3822879195213318, 0.0]]",False,0.0,0.1574236303567886,10.0,0.530774712562561,0.32576146721839905
lennart.nickel.egfr_l179_s82283_mpnn1,medium,true,high,16.39397426209304,"[""BindCraft""]",lennart.nickel.egfr_l179_s82283_mpnn1,lennart.nickel.egfr_l179_s82283_mpnn1,42.765750885009766,4.049038887023926,0.2976576387882232,0.1375895142555236,"[0.9837371110916138, 4.561712741851807]","[[0.0, 16.21971893310547], [16.21971893310547, 0.0]]","[0.785057008266449, 0.21525046229362488]","[0.13758951425552368, 0.13758951425552368]","[[0.0, 0.13758951425552368], [0.13758951425552368, 0.0]]","[[0.0, 0.13758951425552368], [0.13758951425552368, 0.0]]","[0.699890673160553, 0.3455255925655365]","[[0.0, 0.42765751481056213], [0.42765751481056213, 0.0]]",False,0.0,0.1696031391620636,10.0,0.699890673160553,0.3455255925655365
aureliabustos.bce_var702,medium,true,high,7.877170692431561,"[""ProteinMPNN/LigandMPNN""]",aureliabustos.bce_var702,aureliabustos.bce_var702,33.04021453857422,4.899550914764404,0.1900199353694915,0.1052004247903823,"[2.5445618629455566, 4.78761625289917]","[[0.0, 16.759960174560547], [16.759960174560547, 0.0]]","[0.15635013580322266, 0.19099290668964386]","[0.10520042479038239, 0.10520042479038239]","[[0.0, 0.10520042479038239], [0.10520042479038239, 0.0]]","[[0.0, 0.10520042479038239], [0.10520042479038239, 0.0]]","[0.37879443168640137, 0.3263263404369354]","[[0.0, 0.330402135848999], [0.330402135848999, 0.0]]",False,0.0,0.1221643313765525,10.0,0.37879443168640137,0.3263263404369354
jvogt4.vogt_scfv_0128,medium,true,high,17.857647005350373,"[""Custom PLM""]",jvogt4.vogt_scfv_0128,,,,,,,,,,,,,,,,,,,
